항목그룹명	CC코드	CC명	항목구분명	항목코드	항목명	01월	02월	03월	04월	05월	06월	07월	08월	09월	10월	11월	12월	합계
제조경비	SM_SMF	송도공장	업무추진비(제조)	5130120	업무추진비-업무추진비(제조)	"498,365"	"430,914"	"813,822"	"893,479"	"414,550"	0	0	0	0	0	0	0	"3,051,130"
제조경비	SM_SQA	품질보증실 품질보증3팀	복리후생비(제조)	5103111	복리후생비-식당운영비(제조)	0	0	0	0	0	0	0	0	0	0	0	0	0
제조경비	SM_SQA	품질보증실 품질보증3팀	복리후생비(제조)	5103131	복리후생비-부서활동비(제조)	0	"1,222,913"	"3,173,398"	"39,819"	"391,368"	0	0	0	0	0	0	0	"4,827,498"
제조경비	SM_SQA	품질보증실 품질보증3팀	복리후생비(제조)	5103190	복리후생비-지원보조비(제조)	"105,680"	"105,370"	"105,370"	"105,370"	"105,370"	0	0	0	0	0	0	0	"527,160"
제조경비	SM_SQA	품질보증실 품질보증3팀	복리후생비(제조)	5103210	복리후생비-사내경조비(제조)	0	"100,000"	"100,000"	0	"50,000"	0	0	0	0	0	0	0	"250,000"
제조경비	SM_SQA	품질보증실 품질보증3팀	복리후생비(제조)	5103270	복리후생비-법정후생비(제조)	"8,765,900"	"8,105,970"	"8,377,230"	"9,473,100"	"8,507,260"	0	0	0	0	0	0	0	"43,229,460"
제조경비	SM_SQA	품질보증실 품질보증3팀	여비교통비(제조)	5104110	여비교통비-해외출장비(제조)	0	0	0	0	0	0	0	0	0	0	0	0	0
제조경비	SM_SQA	품질보증실 품질보증3팀	여비교통비(제조)	5104120	여비교통비-시외출장비(제조)	"23,200"	0	"43,000"	"470,866"	"44,100"	0	0	0	0	0	0	0	"581,166"
제조경비	SM_SQA	품질보증실 품질보증3팀	여비교통비(제조)	5104130	여비교통비-시내출장비(제조)	0	0	0	0	0	0	0	0	0	0	0	0	0
제조경비	SM_SQA	품질보증실 품질보증3팀	여비교통비(제조)	5104150	여비교통비-해외여비(제조)	0	0	0	0	0	0	0	0	0	0	0	0	0
